"Date","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C3_Cancel.public.events.1","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","ConfirmedCases","ConfirmedDeaths","Cases_daily","Deaths_daily","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","driving","walking","daily_vaccinations","first_dose","second_dose","third_dose","total_doses","vax1","vax2","BKK.bus","Reg.bus","Personal.car","BKK.train","Reg.train","BKK.airport","Reg.airport"
2021-08-17,2,2,2,2,4,1,2,2,3,2,948442,7973,20128,239,-26,8,-43,-60,-28,11,39.53,31.1,527456,18733404,5377170,528784,24639358,359680,156079,352172,2613,1487341,242100,8307,1,128
2021-08-18,3,2,2,2,4,1,2,2,3,2,968957,8285,20515,312,-27,5,-43,-60,-27,11,40.15,31.13,555560,19155357,5501258,538303,25194918,421953,124088,357153,2511,1490656,245774,8468,10,209
2021-08-19,3,2,2,2,4,1,2,2,3,2,989859,8586,20902,301,-29,2,-45,-61,-27,11,40.51,31.28,671726,19609954,5708421,548269,25866644,454597,207163,354622,2498,1471178,242233,8174,1,131
2021-08-20,3,2,2,2,4,1,2,2,3,2,1009710,8826,19851,240,-30,5,-47,-62,-26,13,44.49,33.66,756062,20100565,5958320,563821,26622706,490611,249899,370178,3168,1641287,251152,8697,9,163
2021-08-21,3,2,2,2,4,1,2,2,3,2,1030281,9087,20571,261,-31,5,-53,-62,-11,9,43.57,33.88,298750,20328634,6025987,566835,26921456,228069,67667,280540,2241,1367611,143590,6745,2,0
2021-08-22,3,2,2,2,4,1,2,2,3,2,1049295,9320,19014,233,-35,-1,-48,-66,-15,9,41.09,31.62,176677,20465754,6064263,568116,27098133,137120,38276,220667,2425,1094242,107611,6421,6,178
2021-08-23,3,2,2,2,4,1,2,2,3,2,1066786,9562,17491,242,-27,4,-43,-61,-25,10,40.05,32.04,567683,20859750,6228784,577282,27665816,393996,164521,338725,2663,1582700,252144,9013,10,3
2021-08-24,3,2,2,2,4,1,2,2,3,2,1083951,9788,17165,226,-27,4,-44,-61,-27,10,39.96,31.2,625777,21287502,6413310,590781,28291593,427752,184526,373548,2596,1479293,247301,8640,10,196
2021-08-25,3,2,2,2,4,1,2,2,3,2,1102368,10085,18417,297,-27,3,-44,-60,-27,11,41.12,33.04,691322,21767006,6611469,604440,28982915,479504,198159,382276,2543,1547853,254082,8716,6,116
2021-08-26,3,2,2,2,4,1,2,2,3,2,1120869,10314,18501,229,-28,2,-45,-60,-27,11,41.49,32.05,727676,22199610,6896876,614105,29710591,432604,285407,372501,2656,1530522,247858,8931,12,212
2021-08-27,3,2,2,2,4,1,2,2,3,2,1139571,10587,18702,273,-31,4,-49,-62,-26,13,46.9,34.99,807032,22662723,7230295,624605,30517623,463113,333419,365650,2953,1630796,256001,9312,18,173
2021-08-28,3,2,2,2,4,1,2,2,3,2,1157555,10879,17984,292,-31,3,-53,-62,-10,10,47.66,35.97,328277,22905556,7311721,628623,30845900,242833,81426,284163,2395,1390894,146337,7334,0,43
2021-08-29,3,2,2,2,4,1,2,2,3,2,1174091,11143,16536,264,-30,4,-47,-63,-15,9,44.97,34.11,250018,23105611,7358884,631423,31095918,200055,47163,240034,2597,1157696,119243,7106,1,89
2021-08-30,3,2,2,2,4,1,2,2,3,2,1190063,11399,15972,256,-25,6,-43,-58,-24,10,41.92,32.76,806475,23455675,7807211,639507,31902393,350064,448327,397779,3031,1631114,279588,9700,72,29
2021-08-31,3,2,2,2,3,0,2,2,2,1,1204729,11589,14666,190,-23,10,-44,-57,-25,10,42.64,32.77,764599,23812163,8209562,645267,32666992,356488,402351,398160,2928,1581025,280344,9351,12,115
2021-09-01,3,2,2,2,3,0,2,2,2,1,1213954,11841,9225,252,-17,11,-42,-54,-24,9,44.95,34.32,968476,24214207,8768446,652815,33635468,402044,558884,425696,6451,1661457,332847,9455,1999,2777
2021-09-02,3,2,2,2,3,0,2,2,2,1,1234487,12103,20533,262,-16,11,-42,-54,-24,9,48.28,36.05,831297,24602328,9204183,660254,34466765,388121,435737,428955,7344,1648659,328090,10008,1664,2216
2021-09-03,3,2,2,2,3,0,2,2,2,1,1249140,12374,14653,271,-18,11,-44,-56,-23,10,58.62,42.2,833318,24897241,9732958,669884,35300083,294913,528775,436635,8469,1741938,345031,10621,3699,3977
2021-09-04,3,2,2,2,3,0,2,2,2,1,1265082,12631,15942,257,-19,7,-47,-55,-7,7,60.33,44.08,399506,25083397,9941436,674756,35699589,186156,208478,369234,7478,1606636,266469,8870,2763,2705
2021-09-05,3,2,2,2,3,0,2,2,2,1,1280534,12855,15452,224,-16,12,-39,-57,-12,6,53.3,40.21,308415,25224148,10107315,676541,36008004,140751,165879,309182,8340,1309260,202470,8978,3628,4337
