"Date","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C3_Cancel.public.events.1","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","ConfirmedCases","ConfirmedDeaths","Cases_daily","Deaths_daily","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","driving","walking","daily_vaccinations","first_dose","second_dose","third_dose","total_doses","vax1","vax2","BKK.bus","Reg.bus","Personal.car","BKK.train","Reg.train","BKK.airport","Reg.airport","infected","death","retail","gro","parks","trans","work","res","dr","wlk","vax_1","vax_2","bus_bkk1","bus_inter_reg","trainbkk","trainreg","bkk_airp","reg_airp","car"
2021-06-15,2,1,2,2,4,1,1,1,3,1,202264,1485,3000,19,-10,16,-33,-48,-15,4,53.35,41.98,269632,4948227,1832589,0,6780816,186164,83468,536769,20694,1960153,450152,19150,4249,4953,-1.48535485730736,-1.33880405293108,1.58638618342896,0.833667078609459,1.64417918591911,1.69030722425915,0.451439114735004,-1.2821263683321,0.719872079797041,0.888654746167948,-0.46705912492728,-0.09058738333345,1.51854750035815,1.32191864410425,1.63497417287363,1.93001786574583,0.507019491982513,0.648172396781322,1.55467293174256
2021-06-16,2,1,2,2,4,1,1,1,3,1,204595,1525,2331,40,-11,14,-35,-49,-16,4,55.52,43.28,222967,5114755,1889028,0,7003783,166528,56439,526875,20615,1890323,450817,18123,7464,7553,-1.58532202621858,-1.09210110142025,1.45293624160529,0.51607962009157,1.28963919973709,1.51261395495464,0.352763898399484,-1.2821263683321,0.938637581858777,1.08718135798989,-0.61536564073908,-0.342482148051508,1.42061485777261,1.31274904146446,1.64095822780028,1.69688423594254,1.49214065034249,1.41451653312567,1.29413647879577
2021-06-17,2,1,2,2,4,1,1,1,3,1,207724,1555,3129,30,-11,13,-34,-49,-16,4,59.84,45.37,215885,5252531,1967137,0,7219668,137776,78109,531832,20552,1870890,453186,18878,5795,5687,-1.46607867675497,-1.20957869737779,1.45293624160529,0.357285890832625,1.4669091928281,1.51261395495464,0.352763898399484,-1.2821263683321,1.37415231407385,1.40635106468823,-0.832523358330283,-0.140530187141363,1.46968016091558,1.30543657353653,1.66227586106532,1.86827263954671,0.980735607324513,0.864517241426225,1.22163175460681
2021-06-18,2,1,2,2,4,1,1,1,3,1,210782,1577,3058,22,-14,12,-36,-51,-15,5,73.96,52.47,263415,5434119,2048964,0,7483083,181588,81827,546002,24711,2077441,474253,20633,10218,10518,-1.47668804744659,-1.30356077414382,1.05258641613425,0.198492161573681,1.11236920664608,1.15722741634562,0.451439114735004,-1.00264378122973,2.79764028140643,2.49061179079266,-0.501620675974071,-0.10588056136084,1.60993744264563,1.78817552769948,1.85184892142605,2.26666555123589,2.33600493342908,2.28844359630297,1.99227567401985
2021-06-19,2,1,2,2,4,1,1,1,3,1,214449,1609,3667,32,-14,10,-41,-51,0,2,76.77,56.9,104095,5486092,2101086,0,7587178,51973,52122,433960,21385,1884687,319600,15826,6999,6741,-1.38568654390858,-1.18608317818628,1.05258641613425,-0.119095296944208,0.226019241191036,1.15722741634562,1.9315673597678,-1.84109154253683,3.08092648453706,3.16712939877049,-1.48057509881714,-0.382714109991937,0.50092499666126,1.40212364947251,0.460191708535371,1.17545488087129,1.34965811888452,1.17518136439043,1.27310850444652
2021-06-20,2,1,2,2,4,1,1,1,3,1,218131,1629,3682,20,-13,10,-34,-52,-7,3,65.03,47.43,91879,5526039,2153018,0,7679057,39947,51932,385370,23381,1662859,249729,17181,9122,11396,-1.38344512756527,-1.32705629333532,1.18603635795793,-0.119095296944208,1.4669091928281,0.979534147041108,1.24084084541916,-1.56160895543446,1.89737487430445,1.72093938803684,-1.57140490932603,-0.384484800927467,0.0199721865509411,1.63380120477649,-0.168547993390132,1.48304598932647,2.00017513885287,2.54723211619156,0.445465939871399
2021-06-21,2,1,2,2,4,1,1,1,3,1,221306,1658,3175,29,-12,11,-33,-49,-17,3,57.95,44.02,227639,5678848,2227848,0,7906696,152809,74830,547602,22796,2041223,471503,20536,6673,7696,-1.45920499996885,-1.22132645697354,1.31948629978161,0.0396984323147361,1.64417918591911,1.51261395495464,0.254088682063964,-1.56160895543446,1.18361461872975,1.20018881395007,-0.718982318800909,-0.171088584918214,1.62577453867725,1.56589971687427,1.82710282962409,2.24464611395164,1.24976713984086,1.4566654606246,1.85714594105655
2021-06-22,2,1,2,2,4,1,1,1,3,1,225365,1693,4059,35,-13,10,-34,-50,-18,3,57.24,44.06,241639,5844521,2303814,0,8148335,165673,75966,547429,21841,1911081,461393,18904,5471,6000,-1.32711086347031,-1.15083989939902,1.18603635795793,-0.119095296944208,1.4669091928281,1.33492068565013,0.155413465728444,-1.56160895543446,1.11203696598144,1.20629732508305,-0.621823273200838,-0.160501717008942,1.62406215266883,1.45505198876039,1.73612719758122,1.87417475675692,0.881457456373149,0.956773285532294,1.37158479170239
2021-06-23,2,1,2,2,4,1,1,1,3,1,228539,1744,3174,51,-13,8,-35,-50,-18,4,56.44,42.5,251985,6017424,2382896,0,8400320,172903,79082,551279,21167,1946675,462976,18064,7662,7869,-1.45935442772507,-0.96287574586696,1.18603635795793,-0.436682755462097,1.28963919973709,1.33492068565013,0.155413465728444,-1.2821263683321,1.03138608964532,0.968065390896723,-0.567216626769828,-0.131462385666256,1.66217016499492,1.37682018902348,1.75037194788032,1.68349096996552,1.55281063147944,1.50765682046598,1.50438637420544
2021-06-24,2,1,2,2,4,1,1,1,3,1,232647,1775,4108,31,-14,7,-35,-49,-17,4,59.53,43.58,257103,6206353,2451070,0,8657423,188929,68174,542903,21570,1945198,464079,17859,6486,6398,-1.31978890341553,-1.19783093778203,1.05258641613425,-0.595476484721042,1.28963919973709,1.51261395495464,0.254088682063964,-1.2821263683321,1.3429000994936,1.13299519148726,-0.446175670241009,-0.233118684217611,1.57926296726938,1.42359676957834,1.76029738033762,1.6369550458081,1.19246771321153,1.07408288794193,1.49887567191413
