"data_d","",""
19,53.35,41.98
40,55.52,43.28
30,59.84,45.37
22,73.96,52.47
32,76.77,56.9
20,65.03,47.43
29,57.95,44.02
35,57.24,44.06
51,56.44,42.5
31,59.53,43.58
44,73.65,53.23
51,75.58,55.55
42,60.99,45.39
22,52.24,39.63
36,51.42,40.14
53,50.97,39.97
57,51.76,39.94
61,60,44.93
41,61.39,46.19
44,59.8,47.33
50,57.14,45.15
57,49.81,39.95
54,47.35,37.98
75,46.7,36.11
72,49.41,38.27
91,46.21,38.27
86,43.24,36.76
80,39.3,33.1
56,39.13,32.49
87,38.33,32.4
98,38.56,32.32
67,42.94,34.82
141,42.96,35.59
101,40.06,33.1
81,37.81,31.01
80,36.56,31.25
108,37.08,29.79
87,37.58,30.1
114,40.7,32.5
119,38.52,31.61
129,38.24,31.33
87,38.87,31.52
118,39.78,31.69
133,38.11,30.97
165,39.03,30.89
117,41.82,32.9
178,40.23,32.11
133,39.17,31.26
178,37.83,30.23
147,36.88,30.15
188,37.52,30.06
160,37.34,30.58
191,41.77,33.24
212,41.31,34.32
138,39.32,32.11
149,38.33,31.08
235,39.03,31.25
207,40.69,31.39
147,39.7,31.6
184,41.85,32.23
217,40.63,32.22
209,38.75,31.07
182,38.45,30.24
239,39.53,31.1
312,40.15,31.13
301,40.51,31.28
240,44.49,33.66
261,43.57,33.88
233,41.09,31.62
242,40.05,32.04
226,39.96,31.2
297,41.12,33.04
229,41.49,32.05
273,46.9,34.99
292,47.66,35.97
264,44.97,34.11
256,41.92,32.76
190,42.64,32.77
252,44.95,34.32
262,48.28,36.05
271,58.62,42.2
257,60.33,44.08
224,53.3,40.21
