"data_d","","","","","",""
19,-10,16,-33,-48,-15,4
40,-11,14,-35,-49,-16,4
30,-11,13,-34,-49,-16,4
22,-14,12,-36,-51,-15,5
32,-14,10,-41,-51,0,2
20,-13,10,-34,-52,-7,3
29,-12,11,-33,-49,-17,3
35,-13,10,-34,-50,-18,3
51,-13,8,-35,-50,-18,4
31,-14,7,-35,-49,-17,4
44,-14,11,-37,-50,-16,5
51,-14,9,-42,-50,-2,3
42,-14,9,-36,-52,-7,3
22,-18,6,-38,-52,-17,5
36,-18,6,-38,-53,-19,5
53,-15,13,-38,-51,-19,4
57,-9,23,-35,-48,-16,4
61,-11,26,-36,-50,-15,5
41,-11,25,-42,-50,1,3
44,-10,25,-35,-52,-5,4
50,-8,25,-32,-48,-15,4
57,-12,20,-36,-51,-17,6
54,-10,21,-35,-50,-17,6
75,-13,20,-37,-51,-16,6
72,-18,20,-42,-53,-16,8
91,-21,17,-50,-55,-1,7
86,-20,19,-45,-57,-7,7
80,-16,18,-37,-55,-19,7
56,-19,15,-37,-57,-21,8
87,-19,14,-39,-57,-21,9
98,-19,15,-40,-56,-20,9
67,-20,18,-41,-58,-20,10
141,-23,15,-49,-58,-2,7
101,-23,16,-43,-60,-8,7
81,-18,17,-39,-56,-20,8
80,-22,15,-40,-58,-24,10
108,-23,12,-40,-60,-25,10
87,-25,9,-42,-60,-24,11
114,-27,14,-46,-62,-24,12
119,-33,5,-56,-65,-21,12
129,-33,6,-50,-67,-18,11
87,-23,12,-42,-65,-43,15
118,-23,13,-41,-61,-29,11
133,-26,8,-42,-69,-57,19
165,-26,8,-44,-61,-24,11
117,-28,11,-47,-62,-24,13
178,-29,12,-53,-62,-7,9
133,-28,15,-47,-63,-13,9
178,-23,14,-42,-60,-24,10
147,-25,11,-44,-61,-27,11
188,-26,8,-43,-61,-27,11
160,-28,6,-45,-61,-26,12
191,-30,8,-46,-63,-26,13
212,-31,6,-52,-62,-9,10
138,-32,6,-48,-65,-14,9
149,-26,7,-43,-61,-25,10
235,-26,9,-42,-60,-27,11
207,-28,4,-44,-61,-28,11
147,-24,11,-41,-67,-58,18
184,-32,2,-48,-64,-28,14
217,-34,0,-55,-64,-11,11
209,-35,1,-51,-65,-15,10
182,-27,7,-44,-60,-26,11
239,-26,8,-43,-60,-28,11
312,-27,5,-43,-60,-27,11
301,-29,2,-45,-61,-27,11
240,-30,5,-47,-62,-26,13
261,-31,5,-53,-62,-11,9
233,-35,-1,-48,-66,-15,9
242,-27,4,-43,-61,-25,10
226,-27,4,-44,-61,-27,10
297,-27,3,-44,-60,-27,11
229,-28,2,-45,-60,-27,11
273,-31,4,-49,-62,-26,13
292,-31,3,-53,-62,-10,10
264,-30,4,-47,-63,-15,9
256,-25,6,-43,-58,-24,10
190,-23,10,-44,-57,-25,10
252,-17,11,-42,-54,-24,9
262,-16,11,-42,-54,-24,9
271,-18,11,-44,-56,-23,10
257,-19,7,-47,-55,-7,7
224,-16,12,-39,-57,-12,6
