"data_d","",""
19,186164,83468
40,166528,56439
30,137776,78109
22,181588,81827
32,51973,52122
20,39947,51932
29,152809,74830
35,165673,75966
51,172903,79082
31,188929,68174
44,228955,95100
51,40518,33145
42,62025,30347
22,183187,85732
36,189131,67143
53,200685,54307
57,253731,45754
61,275533,69576
41,81032,17573
44,83504,23347
50,217375,63267
57,223268,46385
54,248933,42642
75,305925,50453
72,330371,69537
91,83072,10212
86,87809,12216
80,297542,41438
56,289175,33313
87,275216,27820
98,261015,28053
67,273223,34481
141,82854,10419
101,69667,5167
81,217419,31229
80,225061,32815
108,246287,33289
87,266314,37929
114,304244,48635
119,117421,10605
129,80943,9991
87,122137,16755
118,284387,43002
133,144258,20012
165,366663,53485
117,414946,65209
178,162737,31605
133,152171,28381
178,252390,79909
147,297446,95146
188,17725,2560
160,690855,193300
191,471493,117578
212,133996,32262
138,169370,26651
149,347344,101808
235,360514,127880
207,361902,132662
147,210244,30566
184,429076,178183
217,197103,42269
209,104744,31456
182,374435,117422
239,359680,156079
312,421953,124088
301,454597,207163
240,490611,249899
261,228069,67667
233,137120,38276
242,393996,164521
226,427752,184526
297,479504,198159
229,432604,285407
273,463113,333419
292,242833,81426
264,200055,47163
256,350064,448327
190,356488,402351
252,402044,558884
262,388121,435737
271,294913,528775
257,186156,208478
224,140751,165879
