"data_d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-1.33880405293108,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.58638618342896,0.833667078609459,1.64417918591911,1.69030722425915,0.451439114735004,-1.2821263683321,0.888654746167948,0.719872079797041,-1.48535485730736,-0.46705912492728,-0.09058738333345,1.63497417287363,1.93001786574583,0.507019491982513,0.648172396781322,1.55467293174256,1.51854750035815,1.32191864410425
-1.09210110142025,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.45293624160529,0.51607962009157,1.28963919973709,1.51261395495464,0.352763898399484,-1.2821263683321,1.08718135798989,0.938637581858777,-1.58532202621858,-0.61536564073908,-0.342482148051508,1.64095822780028,1.69688423594254,1.49214065034249,1.41451653312567,1.29413647879577,1.42061485777261,1.31274904146446
-1.20957869737779,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.45293624160529,0.357285890832625,1.4669091928281,1.51261395495464,0.352763898399484,-1.2821263683321,1.40635106468823,1.37415231407385,-1.46607867675497,-0.832523358330283,-0.140530187141363,1.66227586106532,1.86827263954671,0.980735607324513,0.864517241426225,1.22163175460681,1.46968016091558,1.30543657353653
-1.30356077414382,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.05258641613425,0.198492161573681,1.11236920664608,1.15722741634562,0.451439114735004,-1.00264378122973,2.49061179079266,2.79764028140643,-1.47668804744659,-0.501620675974071,-0.10588056136084,1.85184892142605,2.26666555123589,2.33600493342908,2.28844359630297,1.99227567401985,1.60993744264563,1.78817552769948
-1.18608317818628,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.05258641613425,-0.119095296944208,0.226019241191036,1.15722741634562,1.9315673597678,-1.84109154253683,3.16712939877049,3.08092648453706,-1.38568654390858,-1.48057509881714,-0.382714109991937,0.460191708535371,1.17545488087129,1.34965811888452,1.17518136439043,1.27310850444652,0.50092499666126,1.40212364947251
-1.32705629333532,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.18603635795793,-0.119095296944208,1.4669091928281,0.979534147041108,1.24084084541916,-1.56160895543446,1.72093938803684,1.89737487430445,-1.38344512756527,-1.57140490932603,-0.384484800927467,-0.168547993390132,1.48304598932647,2.00017513885287,2.54723211619156,0.445465939871399,0.0199721865509411,1.63380120477649
-1.22132645697354,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.31948629978161,0.0396984323147361,1.64417918591911,1.51261395495464,0.254088682063964,-1.56160895543446,1.20018881395007,1.18361461872975,-1.45920499996885,-0.718982318800909,-0.171088584918214,1.82710282962409,2.24464611395164,1.24976713984086,1.4566654606246,1.85714594105655,1.62577453867725,1.56589971687427
-1.15083989939902,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.18603635795793,-0.119095296944208,1.4669091928281,1.33492068565013,0.155413465728444,-1.56160895543446,1.20629732508305,1.11203696598144,-1.32711086347031,-0.621823273200838,-0.160501717008942,1.73612719758122,1.87417475675692,0.881457456373149,0.956773285532294,1.37158479170239,1.62406215266883,1.45505198876039
-0.96287574586696,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.18603635795793,-0.436682755462097,1.28963919973709,1.33492068565013,0.155413465728444,-1.2821263683321,0.968065390896723,1.03138608964532,-1.45935442772507,-0.567216626769828,-0.131462385666256,1.75037194788032,1.68349096996552,1.55281063147944,1.50765682046598,1.50438637420544,1.66217016499492,1.37682018902348
-1.19783093778203,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.05258641613425,-0.595476484721042,1.28963919973709,1.51261395495464,0.254088682063964,-1.2821263683321,1.13299519148726,1.3429000994936,-1.31978890341553,-0.446175670241009,-0.233118684217611,1.76029738033762,1.6369550458081,1.19246771321153,1.07408288794193,1.49887567191413,1.57926296726938,1.42359676957834
-1.04511006303724,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.05258641613425,0.0396984323147361,0.935099213555071,1.33492068565013,0.352763898399484,-1.00264378122973,2.60667350231933,2.76638806682618,-1.38912338230164,-0.143867837592654,0.0178161796248707,1.83092722562985,2.30139724097289,2.5676539523156,2.42668028858969,1.99485380217374,1.5903390363065,1.82938070411878
-0.96287574586696,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.05258641613425,-0.277889026203153,0.0487492481000271,1.33492068565013,1.73421692709676,-1.56160895543446,2.96096714803233,2.96095830598708,-1.31186923233586,-1.56709226823169,-0.559568856747443,0.434644743216906,1.11734172680153,1.61470626880097,1.4227694699786,1.11450325434244,0.630739693195462,1.45168593209515
-1.06860558222874,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1.05258641613425,-0.277889026203153,1.11236920664608,0.979534147041108,1.24084084541916,-1.56160895543446,1.40940532025472,1.49008794880702,-1.33667423986839,-1.40465448886907,-0.585644610629612,-0.143900885955374,1.29712929720485,2.18157225417141,2.69784821375769,0.282193195815771,-0.111822146987213,1.51831063988297
-1.30356077414382,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0.518786648839545,-0.754270213979987,0.757829220464062,0.979534147041108,0.254088682063964,-1.00264378122973,0.529779717105215,0.60796898888067,-1.12583167584188,-0.489543770352607,-0.0694882029227177,1.55098143800834,1.59041912165067,1.33433741657721,1.59107043222961,1.41894250611244,1.34359708013383,1.50972139184064
-1.13909213980326,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0.518786648839545,-0.754270213979987,0.757829220464062,0.801840877736599,0.0567382493929239,-1.00264378122973,0.607663234050744,0.525301840636143,-1.23700592646961,-0.444650007367002,-0.242727012399353,1.43697844272139,1.17704391242789,0.759198251960822,0.972984411493425,1.03995766749041,1.34688327756039,1.33491858708724
