"data_i","",""
3000,53.35,41.98
2331,55.52,43.28
3129,59.84,45.37
3058,73.96,52.47
3667,76.77,56.9
3682,65.03,47.43
3175,57.95,44.02
4059,57.24,44.06
3174,56.44,42.5
4108,59.53,43.58
3644,73.65,53.23
4161,75.58,55.55
3995,60.99,45.39
5406,52.24,39.63
4662,51.42,40.14
4786,50.97,39.97
5533,51.76,39.94
6087,60,44.93
6230,61.39,46.19
5916,59.8,47.33
6166,57.14,45.15
5420,49.81,39.95
6519,47.35,37.98
7058,46.7,36.11
9276,49.41,38.27
9326,46.21,38.27
9539,43.24,36.76
8656,39.3,33.1
8685,39.13,32.49
9317,38.33,32.4
9186,38.56,32.32
9692,42.94,34.82
10082,42.96,35.59
11397,40.06,33.1
11784,37.81,31.01
11305,36.56,31.25
13002,37.08,29.79
13655,37.58,30.1
14575,40.7,32.5
14260,38.52,31.61
15335,38.24,31.33
15376,38.87,31.52
14150,39.78,31.69
16533,38.11,30.97
17669,39.03,30.89
17345,41.82,32.9
18912,40.23,32.11
18027,39.17,31.26
17970,37.83,30.23
18901,36.88,30.15
20200,37.52,30.06
20920,37.34,30.58
21379,41.77,33.24
21838,41.31,34.32
19983,39.32,32.11
19603,38.33,31.08
19843,39.03,31.25
21038,40.69,31.39
22782,39.7,31.6
23418,41.85,32.23
22086,40.63,32.22
21882,38.75,31.07
21157,38.45,30.24
20128,39.53,31.1
20515,40.15,31.13
20902,40.51,31.28
19851,44.49,33.66
20571,43.57,33.88
19014,41.09,31.62
17491,40.05,32.04
17165,39.96,31.2
18417,41.12,33.04
18501,41.49,32.05
18702,46.9,34.99
17984,47.66,35.97
16536,44.97,34.11
15972,41.92,32.76
14666,42.64,32.77
9225,44.95,34.32
20533,48.28,36.05
14653,58.62,42.2
15942,60.33,44.08
15452,53.3,40.21
