"data_i","","","","","","",""
3000,536769,20694,450152,19150,4249,4953,1960153
2331,526875,20615,450817,18123,7464,7553,1890323
3129,531832,20552,453186,18878,5795,5687,1870890
3058,546002,24711,474253,20633,10218,10518,2077441
3667,433960,21385,319600,15826,6999,6741,1884687
3682,385370,23381,249729,17181,9122,11396,1662859
3175,547602,22796,471503,20536,6673,7696,2041223
4059,547429,21841,461393,18904,5471,6000,1911081
3174,551279,21167,462976,18064,7662,7869,1946675
4108,542903,21570,464079,17859,6486,6398,1945198
3644,544022,25066,471928,20786,10974,10987,2078132
4161,447075,21812,316761,15570,7864,7581,1842177
3995,372055,22386,252468,16362,9714,11907,1619098
5406,519094,22312,440818,17654,6949,8152,1923774
4662,519426,20806,428149,15833,5072,6055,1822197
4786,546310,20588,447149,15593,6994,7549,1873645
5533,549137,19426,432009,15343,6791,6332,1923601
6087,542588,22395,430182,16771,7927,7368,1931529
6230,432771,19464,266873,12573,6017,5746,1649828
5916,358433,20176,206350,12323,6981,8351,1398656
6166,533059,19907,417292,15898,5478,5701,1863287
5420,506670,18975,393053,13672,4211,4267,1766508
6519,508473,17828,393052,13427,5177,5038,1748922
7058,505692,17507,377062,13059,4641,4048,1747277
9276,489767,17845,374458,14451,7712,5958,1870522
9326,369755,15299,208929,10180,4658,3802,1427038
9539,304172,15756,162592,8694,5922,5940,1158452
8656,409359,13993,293722,10951,2533,2562,1525235
8685,397469,10181,266044,9615,1809,1745,1473921
9317,391926,10015,267376,9317,2333,1906,1467706
9186,401567,9424,274109,9304,1795,1888,1486614
9692,399077,9801,274461,9599,2387,2567,1546249
10082,314822,9121,159177,6918,1650,1673,1295276
11397,259939,8059,123562,6664,2967,3141,1044306
11784,405518,9264,276526,9564,1992,2242,1517743
11305,371261,8498,241001,8908,2927,2927,1484244
13002,355104,2066,232168,7945,2,110,1382041
13655,353382,920,224525,8135,0,81,1399249
14575,342721,1534,231598,8679,2,111,1505101
14260,233330,1197,117362,5900,5,95,1227890
15335,209073,870,93103,5350,1,98,991998
15376,257658,980,140237,6046,1,122,1202658
14150,331948,1033,223155,7444,2,98,1440424
16533,213896,871,103704,5479,5,325,1136665
17669,342573,1054,231122,7811,0,55,1484579
17345,348148,1046,235216,8179,10,170,1541537
18912,268403,954,132064,6105,0,24,1271731
18027,231221,838,100588,6343,3,387,1037063
17970,363297,1070,243831,9116,6,300,1511331
18901,356111,1243,231584,8247,8,58,1377477
20200,348404,2012,227799,7568,8,128,1433215
20920,350668,2360,223844,7558,8,184,1433037
21379,354588,2492,228487,7802,3,37,1486593
21838,257625,2209,143216,6098,2,59,1276650
19983,224964,2173,105397,5585,0,112,1011641
19603,354626,2589,239879,8086,1,28,1485506
19843,356796,2401,240637,7891,1,98,1457383
21038,348080,2441,243401,8148,9,3,1543143
22782,215806,2075,113452,5589,3,154,1220696
23418,332041,2897,241634,7699,8,19,1495288
22086,268752,2152,136185,6096,0,142,1358047
21882,198644,2039,112405,5881,8,251,1137372
21157,358043,2664,251082,8490,2,43,1557972
20128,352172,2613,242100,8307,1,128,1487341
20515,357153,2511,245774,8468,10,209,1490656
20902,354622,2498,242233,8174,1,131,1471178
19851,370178,3168,251152,8697,9,163,1641287
20571,280540,2241,143590,6745,2,0,1367611
19014,220667,2425,107611,6421,6,178,1094242
17491,338725,2663,252144,9013,10,3,1582700
17165,373548,2596,247301,8640,10,196,1479293
18417,382276,2543,254082,8716,6,116,1547853
18501,372501,2656,247858,8931,12,212,1530522
18702,365650,2953,256001,9312,18,173,1630796
17984,284163,2395,146337,7334,0,43,1390894
16536,240034,2597,119243,7106,1,89,1157696
15972,397779,3031,279588,9700,72,29,1631114
14666,398160,2928,280344,9351,12,115,1581025
9225,425696,6451,332847,9455,1999,2777,1661457
20533,428955,7344,328090,10008,1664,2216,1648659
14653,436635,8469,345031,10621,3699,3977,1741938
15942,369234,7478,266469,8870,2763,2705,1606636
15452,309182,8340,202470,8978,3628,4337,1309260
